"source","target","complex_interaction_OLD","source_genesymbol_OG","target_genesymbol_OG","category_intercell_source","database_intercell_source","category_intercell_target","database_intercell_target","sources","references","is_directed","is_stimulation","is_inhibition","consensus_direction","consensus_stimulation","consensus_inhibition","curation_effort","n_references","n_resources","source_genesymbol","source_genesymbol_subunit_1","source_genesymbol_subunit_2","source_genesymbol_subunit_3","source_genesymbol_subunit_4","source_genesymbol_subunit_5","target_genesymbol","target_genesymbol_subunit_1","target_genesymbol_subunit_2","target_genesymbol_subunit_3","target_genesymbol_subunit_4","target_genesymbol_subunit_5","complex_interaction","method","complex_interaction_rev","is_dupl_undirected"
"P24043","Q7L1I2","LAMA2__SV2B","LAMA2","SV2B","","","","","","","","","","","","","","","","LAMA2","LAMA2",NA,NA,NA,NA,"SV2B","SV2B",NA,NA,NA,NA,"LAMA2__SV2B","CellChat extracted","SV2B__LAMA2",FALSE
"P24043","Q7L0J3","LAMA2__SV2A","LAMA2","SV2A","","","","","","","","","","","","","","","","LAMA2","LAMA2",NA,NA,NA,NA,"SV2A","SV2A",NA,NA,NA,NA,"LAMA2__SV2A","CellChat extracted","SV2A__LAMA2",FALSE
"P24043","Q496J9","LAMA2__SV2C","LAMA2","SV2C","","","","","","","","","","","","","","","","LAMA2","LAMA2",NA,NA,NA,NA,"SV2C","SV2C",NA,NA,NA,NA,"LAMA2__SV2C","CellChat extracted","SV2C__LAMA2",FALSE
"P24043","Q14118","LAMA2__DAG1","LAMA2","DAG1","ecm","CellChatDB","receptor","connectomeDB2020;CellPhoneDB;CellChatDB","CellChatDB;HPRD;Wang;connectomeDB2020","HPRD:16709410;HPRD:7925941;connectomeDB2020:30530204","","","","","","","","","","LAMA2","LAMA2",NA,NA,NA,NA,"DAG1","DAG1",NA,NA,NA,NA,"LAMA2__DAG1","LIANA consensus, CellChat extracted","DAG1__LAMA2",FALSE
"P24043","Q13797_P05556","LAMA2__ITGA9_ITGB1","LAMA2","ITGA9_ITGB1","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB;Cellinker","Cellinker:11278916","","","","","","","","","","LAMA2","LAMA2",NA,NA,NA,NA,"ITGA9_ITGB1","ITGA9","ITGB1",NA,NA,NA,"LAMA2__ITGA9_ITGB1","LIANA consensus, CellChat extracted","ITGA9_ITGB1__LAMA2",FALSE
"P24043","Q13683_P05556","LAMA2__ITGA7_ITGB1","LAMA2","ITGA7_ITGB1","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB;Cellinker;HPMR_Cellinker","Cellinker:11278916","","","","","","","","","","LAMA2","LAMA2",NA,NA,NA,NA,"ITGA7_ITGB1","ITGA7","ITGB1",NA,NA,NA,"LAMA2__ITGA7_ITGB1","LIANA consensus, CellChat extracted","ITGA7_ITGB1__LAMA2",FALSE
"P24043","Q13683","LAMA2__ITGA7","LAMA2","ITGA7","ligand","","receptor","","CellTalkDB;EMBRACE;Fantom5_LRdb;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;STRING_talklr;Wang;connectomeDB2020;iTALK;talklr","CellTalkDB:11278916;LRdb:11278916;connectomeDB2020:11278916","1","1","0","1","1","0","3","CellTalkDB:11278916;LRdb:11278916;connectomeDB2020:11278916","8","LAMA2","LAMA2",NA,NA,NA,NA,"ITGA7","ITGA7",NA,NA,NA,NA,"LAMA2__ITGA7","LIANA Ramilowski2015","ITGA7__LAMA2",FALSE
"P24043","P56199_P05556","LAMA2__ITGB1_ITGA1","LAMA2","ITGB1_ITGA1","","","","","","","","","","","","","","","","LAMA2","LAMA2",NA,NA,NA,NA,"ITGA1_ITGB1","ITGA1","ITGB1",NA,NA,NA,"LAMA2__ITGA1_ITGB1","CellChat extracted","ITGA1_ITGB1__LAMA2",FALSE
"P24043","P56199","LAMA2__ITGA1","LAMA2","ITGA1","ecm","CellChatDB","receptor","connectomeDB2020;CellPhoneDB;ICELLNET;CellTalkDB","CellTalkDB;EMBRACE;Fantom5_LRdb;LRdb;STRING_talklr;Wang;iTALK;talklr","CellTalkDB:32196115","","","","","","","","","","LAMA2","LAMA2",NA,NA,NA,NA,"ITGA1","ITGA1",NA,NA,NA,NA,"LAMA2__ITGA1","LIANA consensus","ITGA1__LAMA2",FALSE
"P24043","P26006_P05556","LAMA2__ITGA3_ITGB1","LAMA2","ITGA3_ITGB1","ecm","CellChatDB","adhesion","CellPhoneDB","CellChatDB","","","","","","","","","","","LAMA2","LAMA2",NA,NA,NA,NA,"ITGA3_ITGB1","ITGA3","ITGB1",NA,NA,NA,"LAMA2__ITGA3_ITGB1","LIANA consensus, CellChat extracted","ITGA3_ITGB1__LAMA2",FALSE
